Identifier,Type,Rate
156,Zr-95,2.59E+04
165,Zr-95,
170,Zr-95,4.07E+04
180,Zr-95,7.40E+03
353,Zr-95,2.22E+04
59,Zr-95,3.70E+03
369,Zr-95,7.40E+04
73,Zr-95,
89,Zr-95,
90,Zr-95,
135,Zr-95,
163,Zr-95,
193,Zr-95,1.48E+04
194,Zr-95,3.70E+03
195,Zr-95,
299,Zr-95,
300,Zr-95,
314,Zr-95,
315,Zr-95,
327,Zr-95,
328,Zr-95,
329,Zr-95,
330,Zr-95,
344,Zr-95,
345,Zr-95,
375,Zr-95,
118,Zr-95,
147,Zr-95,
150,Zr-95,
175,Zr-95,1.11E+04
324,Zr-95,1.48E+04
357,Zr-95,
419,Zr-95,
60,Zr-95,
102,Zr-95,3.70E+03
104,Zr-95,
105,Zr-95,
120,Zr-95,
148,Zr-95,3.70E+03
149,Zr-95,
209,Zr-95,7.40E+03
251,Zr-95,1.11E+04
285,Zr-95,1.11E+04
298,Zr-95,
312,Zr-95,
313,Zr-95,
341,Zr-95,
190,Zr-95,1.85E+04
57,Zr-95,
74,Zr-95,
75,Zr-95,3.70E+03
117,Zr-95,1.11E+04
207,Zr-95,7.40E+03
210,Zr-95,3.70E+03
225,Zr-95,7.40E+03
270,Zr-95,
326,Zr-95,
342,Zr-95,
45,Zr-95,7.40E+03
72,Zr-95,
87,Zr-95,
103,Zr-95,
119,Zr-95,3.70E+03
146,Zr-95,7.40E+03
164,Zr-95,3.70E+03
176,Zr-95,7.40E+03
178,Zr-95,1.48E+04
179,Zr-95,7.40E+03
240,Zr-95,
253,Zr-95,1.48E+04
254,Zr-95,7.40E+03
255,Zr-95,7.40E+03
269,Zr-95,7.40E+03
283,Zr-95,1.11E+04
295,Zr-95,1.85E+04
309,Zr-95,
311,Zr-95,
336,Zr-95,1.85E+04
339,Zr-95,3.70E+03
358,Zr-95,
418,Zr-95,1.11E+04
44,Zr-95,
131,Zr-95,7.40E+03
160,Zr-95,1.11E+04
162,Zr-95,
239,Zr-95,7.40E+03
252,Zr-95,1.48E+04
268,Zr-95,1.11E+04
282,Zr-95,1.11E+04
284,Zr-95,
340,Zr-95,3.70E+03
540,Zr-95,
116,Zr-95,1.48E+04
133,Zr-95,
161,Zr-95,7.40E+03
188,Zr-95,2.59E+04
220,Zr-95,1.85E+04
222,Zr-95,
238,Zr-95,
297,Zr-95,3.70E+03
310,Zr-95,
320,Zr-95,2.96E+04
323,Zr-95,1.11E+04
338,Zr-95,7.40E+03
356,Zr-95,
387,Zr-95,2.22E+04
15,Zr-95,
29,Zr-95,
132,Zr-95,
145,Zr-95,1.48E+04
236,Zr-95,1.48E+04
237,Zr-95,1.11E+04
30,Zr-95,
56,Zr-95,7.40E+03
115,Zr-95,1.85E+04
144,Zr-95,1.48E+04
159,Zr-95,2.22E+04
172,Zr-95,2.59E+04
174,Zr-95,
187,Zr-95,2.22E+04
234,Zr-95,2.59E+04
235,Zr-95,1.85E+04
266,Zr-95,1.85E+04
267,Zr-95,1.48E+04
294,Zr-95,1.85E+04
296,Zr-95,1.48E+04
322,Zr-95,1.85E+04
370,Zr-95,1.48E+04
373,Zr-95,
417,Zr-95,1.48E+04
420,Zr-95,
112,Zr-95,5.18E+04
113,Zr-95,2.96E+04
130,Zr-95,1.11E+04
157,Zr-95,1.85E+04
221,Zr-95,2.96E+04
248,Zr-95,4.07E+04
250,Zr-95,4.07E+04
264,Zr-95,2.22E+04
337,Zr-95,7.40E+03
463,Zr-95,
477,Zr-95,1.48E+04
525,Zr-95,2.22E+04
335,Zr-95,2.59E+04
431,Zr-95,
43,Zr-95,
114,Zr-95,2.22E+04
129,Zr-95,2.96E+04
280,Zr-95,3.70E+04
307,Zr-95,2.96E+04
360,Zr-95,
402,Zr-95,
405,Zr-95,7.40E+03
432,Zr-95,1.11E+04
42,Zr-95,
206,Zr-95,4.81E+04
249,Zr-95,3.70E+04
281,Zr-95,6.66E+04
354,Zr-95,3.70E+03
355,Zr-95,
444,Zr-95,7.40E+03
448,Zr-95,
70,Zr-95,
98,Zr-95,2.59E+04
142,Zr-95,1.07E+05
143,Zr-95,8.51E+04
390,Zr-95,7.40E+03
404,Zr-95,4.07E+04
427,Zr-95,6.29E+04
28,Zr-95,4.44E+04
128,Zr-95,4.81E+04
265,Zr-95,1.48E+04
293,Zr-95,4.07E+04
