Identifier,Angle_degree,Distance_from_ChNPP_km,Date_gamma_measurement ,Exposure_Dose_rate_mR/h,Absorbed_dose_rate_microGray/h,Zr-95_Bqm2,"SZR-95, relative error",Nb-95_Bqm2,"SNB-95, relative error",Ru-106_Bqm2,"SRU-106, relative error",Cs-134_Bqm2,"SCS-134, relative error",Cs-137_Bqm2,"SCS-137, relative error",Ce-144_Bq/m3,"SCe-144, relative error",Cs134 + Cs137 Bq/m2,Total Cs - exchangeable form bq/m2,Exch_Cs-134+Cs-137_Bqm2,x,y,INI X,INI Y
1,10,5,5/6/1987,5,43.7,8.10E+05,0.06,1.64E+06,0.03,6.36E+06,0.04,9.69E+05,0.04,2.50E+06,0.02,1.55E+07,0.02,3.47E+06,2.72E+06,7.59E+05,47.10464235,27.28489445,51.3,30.005
2,10,6,5/6/1987,4,34.9,5.29E+05,0.08,1.05E+06,0.04,3.00E+06,0.07,5.59E+05,0.05,1.50E+06,0.03,8.99E+06,0.03,2.06E+06,1.64E+06,4.14E+05,46.26557083,26.74087333,,
3,10,7,2/6/1987,3,26.2,,,4.55E+05,0.09,,,,,6.59E+05,0.08,3.96E+06,0.11,6.59E+05,2.55E+05,4.03E+05,45.4264993,26.19685222,,
4,10,8.3,5/6/1987,4,34.9,5.11E+05,0.08,8.77E+05,0.04,2.42E+06,0.07,6.44E+05,0.04,1.51E+06,0.03,9.58E+06,0.03,2.15E+06,1.90E+06,2.52E+05,44.33570631,25.48962478,,
5,10,10,5/6/1987,3,26.2,3.44E+05,0.11,7.99E+05,0.04,2.85E+06,0.07,7.77E+05,0.04,1.84E+06,0.03,7.92E+06,0.04,2.62E+06,2.35E+06,2.66E+05,42.90928471,24.56478889,,
6,10,12,5/6/1987,5,43.7,3.81E+05,0.1,6.14E+05,0.05,3.12E+06,0.07,1.88E+06,0.03,4.74E+06,0.02,6.40E+06,0.04,6.61E+06,6.30E+06,3.15E+05,41.23114165,23.47674667,,
7,10,14.7,5/6/1987,5.5,48,,,5.07E+05,0.05,2.73E+06,0.07,2.06E+06,0.03,5.33E+06,0.02,4.51E+06,0.06,7.39E+06,4.45E+06,2.93E+06,38.96564852,22.00788967,,
8,10,17,5/6/1987,4.5,39.3,1.18E+05,0.2,3.81E+05,0.06,2.60E+06,0.07,2.37E+06,0.02,5.66E+06,0.02,3.96E+06,0.08,8.03E+06,3.67E+06,4.37E+06,37.03578401,20.75664111,,
9,10,20,5/6/1987,6,52.4,,,1.63E+05,0.1,2.47E+06,0.09,2.57E+06,0.02,6.11E+06,0.02,1.41E+06,0.15,8.67E+06,5.53E+06,3.15E+06,34.51856942,19.12457778,,
10,10,25,2/6/1987,1.6,14,3.33E+04,0.08,6.66E+04,0.03,5.48E+05,0.04,4.37E+05,0.01,1.21E+06,0.01,5.96E+05,0.03,1.64E+06,1.50E+06,1.41E+05,30.32321177,16.40447223,,
11,10,30,5/6/1987,0.9,7.9,2.96E+04,0.13,4.44E+04,0.06,5.07E+05,0.05,4.85E+05,0.02,1.35E+06,0.01,5.85E+05,0.04,1.83E+06,1.65E+06,1.81E+05,26.12785413,13.68436667,,
12,10,37.5,5/6/1987,0.35,3.1,2.96E+04,0.07,7.40E+04,0.02,2.66E+05,0.05,1.41E+05,0.02,3.77E+05,0.01,7.22E+05,0.02,5.18E+05,4.37E+05,8.14E+04,19.83481766,9.604208342,,
13,10,45,5/6/1987,0.25,2.2,1.85E+04,0.08,3.33E+04,0.04,1.89E+05,0.05,8.51E+04,0.02,2.37E+05,0.01,3.77E+05,0.03,3.22E+05,2.89E+05,3.33E+04,13.54178119,5.52405001,,
14,10,52.5,5/6/1987,0.2,1.7,7.40E+03,0.15,1.85E+04,0.06,1.04E+05,0.08,1.07E+05,0.02,2.85E+05,0.01,2.07E+05,0.04,3.92E+05,3.52E+05,4.07E+04,7.248744723,1.443891678,,
15,10,60,5/6/1987,0.08,0.7,,,2.22E+04,0.08,4.81E+04,0.27,1.48E+04,0.14,7.77E+04,0.04,1.55E+05,0.09,9.25E+04,8.88E+04,3.70E+03,0.955708255,-2.636266653,,
16,20,5,2/6/1987,4,34.9,5.00E+05,0.08,9.81E+05,0.04,2.77E+06,0.07,7.81E+05,0.04,1.95E+06,0.03,9.92E+06,0.03,2.73E+06,2.47E+06,2.60E+05,53.34041031,34.56972625,,
17,20,6,2/6/1987,2.5,21.8,4.48E+05,0.09,9.66E+05,0.04,2.58E+06,0.07,6.33E+05,0.05,1.63E+06,0.03,9.07E+06,0.03,2.26E+06,2.20E+06,6.29E+04,53.74849237,35.4826715,,
18,20,7,2/6/1987,2.5,21.8,2.07E+05,0.03,5.00E+05,0.01,1.15E+06,0.03,2.63E+05,0.02,7.84E+05,0.01,4.48E+06,0.01,1.05E+06,1.05E+06,,54.15657443,36.39561676,,
19,20,8.3,2/6/1987,2,17.5,1.81E+05,0.04,3.96E+05,0.02,8.58E+05,0.04,4.37E+05,0.01,1.51E+06,0.01,4.66E+06,0.01,1.95E+06,1.60E+06,3.52E+05,54.68708111,37.58244558,,
20,20,10,4/6/1987,1.8,15.7,1.63E+05,0.08,2.92E+05,0.04,9.66E+05,0.09,2.26E+05,0.05,5.29E+05,0.03,3.42E+06,0.02,7.55E+05,6.70E+05,8.51E+04,55.38082062,39.13445251,,
21,20,12,4/6/1987,3.8,33.2,3.15E+05,0.1,6.40E+05,0.04,2.52E+06,0.07,9.07E+05,0.04,2.12E+06,0.03,6.29E+06,0.04,3.03E+06,2.42E+06,6.14E+05,56.19698474,40.96034301,,
22,20,14.7,2/6/1987,8,69.8,3.74E+05,0.1,6.62E+05,0.05,2.94E+06,0.08,2.64E+06,0.02,6.66E+06,0.01,6.36E+06,0.05,9.30E+06,7.24E+06,2.06E+06,57.29880631,43.42529519,,
23,20,17,2/6/1987,18,157.1,3.70E+05,0.12,5.85E+05,0.06,5.74E+06,0.06,6.96E+06,0.01,1.66E+07,0.01,6.22E+06,0.06,2.35E+07,2.35E+07,,58.23739505,45.52506926,,
24,20,20,2/6/1987,5,43.7,6.66E+04,0.28,2.15E+05,0.08,2.11E+06,0.09,2.66E+06,0.02,6.40E+06,0.01,2.19E+06,0.1,9.06E+06,9.06E+06,,59.46164124,48.26390501,,
25,20,25,2/6/1987,4,34.9,8.14E+04,0.21,1.59E+05,0.1,1.14E+06,0.13,1.54E+06,0.03,3.74E+06,0.02,1.50E+06,0.11,5.27E+06,5.09E+06,1.81E+05,61.50205155,52.82863127,,
26,20,30,2/6/1987,0.8,7,2.44E+04,0.08,5.55E+04,0.03,2.59E+05,0.05,2.63E+05,0.01,6.59E+05,0.01,5.55E+05,0.03,9.21E+05,5.92E+05,3.29E+05,63.54246185,57.39335752,,
27,20,37.5,5/6/1987,0.4,3.5,3.33E+04,0.1,6.29E+04,0.04,3.63E+05,0.07,1.33E+05,0.03,3.48E+05,0.02,6.33E+05,0.03,4.81E+05,4.44E+05,3.70E+04,66.60307732,64.2404469,,
28,20,45,5/6/1987,0.18,1.6,4.44E+04,0.11,7.33E+04,0.05,2.89E+05,0.1,9.25E+04,0.05,2.37E+05,0.03,8.62E+05,0.03,3.29E+05,3.07E+05,2.22E+04,69.66369278,71.08753628,,
29,20,52.5,5/6/1987,0.08,0.7,,,1.48E+04,0.06,6.29E+04,0.09,2.22E+04,0.04,5.92E+04,0.03,1.59E+05,0.04,8.14E+04,7.77E+04,3.70E+03,72.72430825,77.93462566,,
30,20,60,5/6/1987,0.1,0.9,,,1.11E+04,0.06,5.55E+04,0.09,2.22E+04,0.04,5.92E+04,0.03,1.33E+05,0.05,8.14E+04,5.92E+04,2.22E+04,75.78492371,84.78171504,,
31,30,5,2/6/1987,6,52.4,7.59E+05,0.07,1.70E+06,0.03,5.62E+06,0.05,8.10E+05,0.04,2.28E+06,0.03,1.54E+07,0.02,3.09E+06,2.36E+06,7.36E+05,52.07125725,25.06484188,,
32,30,6,2/6/1987,5,43.7,5.48E+05,0.08,1.33E+06,0.03,3.43E+06,0.07,7.77E+05,0.04,2.17E+06,0.03,1.28E+07,0.03,2.95E+06,1.13E+06,1.82E+06,52.2255087,24.07681026,,
33,30,7,2/6/1987,3.8,33.2,4.55E+05,0.08,8.92E+05,0.04,3.26E+06,0.06,4.74E+05,0.05,1.32E+06,0.03,8.70E+06,0.03,1.80E+06,1.73E+06,6.66E+04,52.37976015,23.08877863,,
34,30,8.3,2/6/1987,4,34.9,1.85E+05,0.03,4.77E+05,0.01,1.44E+06,0.02,2.52E+05,0.02,8.51E+05,0.01,4.88E+05,0.01,1.10E+06,1.07E+06,2.96E+04,52.58028703,21.80433752,,
35,30,10,4/6/1987,2.4,21,2.74E+05,0.11,6.33E+05,0.04,2.01E+06,0.08,4.85E+05,0.05,1.29E+06,0.03,5.92E+06,0.04,1.77E+06,1.31E+06,4.59E+05,52.8425145,20.12468376,,
36,30,12,,,,,,,,,,,,,,,,,,,53.1510174,18.14862051,,
37,30,14.7,2/6/1987,5,43.7,2.92E+05,0.12,6.03E+05,0.04,3.12E+06,0.07,2.76E+06,0.02,6.73E+06,0.01,5.74E+06,0.05,9.50E+06,9.40E+06,9.62E+04,53.56749631,15.48093513,,
38,30,17,2/6/1987,6,52.4,1.37E+05,0.16,3.44E+05,0.06,1.82E+06,0.1,2.28E+06,0.02,5.62E+06,0.02,3.77E+06,0.06,7.91E+06,5.18E+06,2.73E+06,53.92227465,13.20846239,,
39,30,20,2/6/1987,5,43.7,1.59E+05,0.17,3.33E+05,0.07,3.24E+06,0.07,2.93E+06,0.02,7.03E+06,0.01,3.38E+06,0.02,9.96E+06,9.61E+06,3.59E+05,54.385029,10.24436752,,
40,30,25,2/6/1987,0.6,5.2,5.55E+04,0.05,1.41E+05,0.02,4.81E+05,0.03,2.26E+05,0.01,5.81E+05,0.01,1.35E+06,0.01,8.07E+05,7.96E+05,1.11E+04,55.15628625,5.304209398,,
41,30,30,2/6/1987,0.35,3.1,1.48E+04,0.09,3.70E+04,0.04,1.26E+05,0.07,1.15E+05,0.02,3.11E+05,0.01,3.40E+05,0.03,4.26E+05,3.00E+05,1.26E+05,55.9275435,0.364051277,,
42,30,37.5,5/6/1987,0.15,1.3,,,2.96E+04,0.06,1.37E+05,0.11,6.29E+04,0.05,1.67E+05,0.03,3.40E+05,0.05,2.29E+05,2.22E+05,7.40E+03,57.08442937,-7.046185903,,
43,30,45,5/6/1987,0.14,1.2,,,3.33E+04,0.08,1.89E+05,0.13,3.33E+04,0.1,8.14E+04,0.05,3.48E+05,0.07,1.15E+05,1.04E+05,1.11E+04,58.24131524,-14.45642308,,
44,30,52.5,5/6/1987,0.06,0.5,,,1.48E+04,0.09,,,1.85E+04,0.09,4.44E+04,0.05,1.81E+05,0.07,6.29E+04,6.29E+04,,59.39820112,-21.86666026,,
45,30,60,5/6/1987,0.05,0.4,7.40E+03,0.22,1.11E+04,0.13,6.66E+04,0.18,3.33E+04,0.06,8.51E+04,0.04,1.11E+05,0.1,1.18E+05,1.11E+05,7.40E+03,60.55508699,-29.27689745,,
46,40,5,4/6/1987,4,34.9,6.88E+05,0.07,1.35E+06,0.03,4.22E+06,0.06,9.81E+05,0.04,2.45E+06,0.02,1.40E+07,0.03,3.43E+06,2.08E+06,1.34E+06,47.96530969,33.7305658,,
47,40,6,4/6/1987,4,34.9,5.25E+05,0.11,9.51E+05,0.05,3.57E+06,0.1,6.48E+05,0.08,1.79E+06,0.04,1.32E+07,0.04,2.43E+06,1.75E+06,6.81E+05,47.29837163,34.47567896,,
48,40,7,4/6/1987,3.5,30.6,5.51E+05,0.05,8.99E+05,0.02,2.39E+06,0.08,5.14E+05,0.04,1.40E+06,0.02,1.14E+07,0.02,1.92E+06,1.35E+06,5.70E+05,46.63143357,35.22079212,,
49,40,8.3,2/6/1987,1.8,15.7,1.37E+05,0.03,3.15E+05,0.01,7.96E+05,0.03,1.89E+05,0.02,5.22E+05,0.01,3.21E+06,0.01,7.10E+05,7.10E+05,,45.76441409,36.18943923,,
50,40,10,2/6/1987,2.8,24.4,2.63E+05,0.12,5.22E+05,0.05,2.52E+06,0.07,7.59E+05,0.04,1.84E+06,0.03,5.18E+06,0.05,2.60E+06,2.60E+06,,44.63061938,37.4561316,,
51,40,12,4/6/1987,1.4,12.2,,,3.37E+05,0.06,1.62E+06,0.1,8.07E+05,0.04,1.96E+06,0.03,3.11E+06,0.07,2.76E+06,2.16E+06,6.07E+05,43.29674326,38.94635793,,
52,40,14.7,2/6/1987,2,17.5,5.92E+04,0.07,1.41E+05,0.02,7.22E+05,0.04,5.33E+05,0.01,1.52E+06,0.01,1.66E+06,0.02,2.05E+06,1.22E+06,8.25E+05,41.49601049,40.95816346,,
53,40,17,2/6/1987,8,69.8,,,1.85E+05,0.09,1.65E+06,0.1,1.78E+06,0.03,4.29E+06,0.02,1.74E+06,0.11,6.08E+06,5.61E+06,4.70E+05,39.96205295,42.67192373,,
54,40,20,2/6/1987,2,17.5,4.07E+04,0.07,9.99E+04,0.03,5.99E+05,0.03,4.88E+05,0.01,1.25E+06,0.01,1.01E+06,0.02,1.74E+06,1.68E+06,6.29E+04,37.96123877,44.90726321,,
55,40,25,2/6/1987,0.25,2.2,3.70E+04,0.06,8.51E+04,0.02,3.18E+05,0.04,1.81E+05,0.02,4.74E+05,0.01,7.18E+05,0.02,6.55E+05,4.63E+05,1.92E+05,34.62654846,48.63282901,,
56,40,30,2/6/1987,0.1,0.9,7.40E+03,0.13,1.48E+04,0.05,5.18E+04,0.1,1.48E+04,0.07,4.44E+04,0.03,2.11E+05,0.03,5.92E+04,3.70E+04,2.22E+04,31.29185815,52.35839481,,
57,40,37.5,5/6/1987,0.04,0.3,,,7.40E+03,0.09,3.70E+04,0.13,1.48E+04,0.06,4.81E+04,0.03,9.25E+04,0.06,6.29E+04,5.81E+04,4.81E+03,26.28982269,57.94674352,,
