Chornobyl_Center_ID,Biota_latin_name,Biota_common_name,Date_sampled,Site_Location_within_Chernobyl_exclusion_zone,Sex,Fresh_mass_of_biota_grams,Mass_of_biota_carcass_grams,Notes,Sr-90<,Sr-90_Bq_per_sample,error_Sr-90_Bq_per_Sample,Cs-137<,Cs-137_Bq_per_sample,error_Cs-137_Bq_per_Sample,"Pu-239,240_Bq_per_sample","error_Pu-239,240_Bq_per_Sample",Pu-238<,Pu-238_Bq_per_sample,error_Pu-238_Bq_per_Sample,Sr-90_Bq_per_kg_FW,Cs-137_Bq_per_kg_FW,"Pu-239,240_Bq_per_kg_FW",Pu-238<,Pu-238_Bq_per_kg_FW,Sr-90_Concentration_ratio,Cs-137_Concentration_ratio,"Pu-239,40_Concentration_ratio",Pu-238<,Pu-238_isotope_Concentration_ratio
G007142,Microtus spp.,Vole species,13/07/2005,Low,Female,24.6,15.7,n/a,n/a,2.27E+02,2.78E+00,n/a,1.46E+01,8.95E-01,2.16E-03,4.84E-04,n/a,1.01E-03,1.91E-04,1.44E+04,9.30E+02,1.38E-01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007144,Microtus spp.,Vole species,19/07/2005,Low,Female,13,7.81,n/a,n/a,2.92E+02,3.34E+00,n/a,2.24E+01,1.33E+00,1.38E-03,2.65E-04,n/a,1.04E-03,1.87E-04,3.74E+04,2.87E+03,1.76E-01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007146,Microtus spp.,Vole species,8/8/2005,Low,Female,7.7,4.24,n/a,n/a,3.96E+01,3.92E+00,n/a,1.46E+01,8.42E-01,7.74E-04,1.19E-04,n/a,6.49E-04,8.05E-05,9.34E+03,3.44E+03,1.83E-01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007147,Microtus spp.,Vole species,8/8/2005,Low,Female,20.5,11.3,n/a,n/a,7.63E+01,2.04E+00,n/a,3.63E+01,2.16E+00,7.00E-04,1.17E-04,n/a,4.32E-04,6.00E-05,6.76E+03,3.21E+03,6.20E-02,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007141,Sorex araneus,Common shrew,13/07/2005,Low,Female,5.6,3.32,n/a,n/a,7.13E+01,2.20E+00,n/a,8.73E+00,5.22E-01,1.56E-03,2.94E-04,n/a,5.61E-04,1.14E-04,2.15E+04,2.63E+03,4.69E-01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007143,Sorex araneus,Common shrew,14/07/2005,Low,Female,7,4.09,n/a,n/a,4.17E+01,1.86E+00,n/a,4.55E+00,3.08E-01,1.22E-03,2.15E-04,n/a,9.61E-04,1.37E-04,1.02E+04,1.11E+03,2.97E-01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007145,Sorex araneus,Common shrew,27/07/2005,Low,Female,7.1,4.36,n/a,n/a,8.61E+01,9.18E-01,n/a,1.19E+01,6.93E-01,2.14E-03,3.12E-04,n/a,7.53E-04,1.45E-04,1.98E+04,2.73E+03,4.91E-01,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007148,Apodemus flavicollis,Yellow-necked mouse,9/8/2005,Low,Female,10.4,6.37,n/a,n/a,1.24E+02,2.50E+00,n/a,1.91E+01,1.14E+00,5.16E-04,9.57E-05,n/a,1.82E-04,2.84E-05,1.95E+04,3.00E+03,8.09E-02,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007149,Apodemus flavicollis,Yellow-necked mouse,10/8/2005,Low,Female,33.4,21,n/a,n/a,3.77E+02,1.34E+00,n/a,2.87E+01,1.71E+00,8.70E-04,1.26E-04,n/a,4.39E-04,5.92E-05,1.80E+04,1.37E+03,4.14E-02,n/a,n/a,n/a,n/a,n/a,n/a,n/a
G007228,Erithacus rubecula,European robin,14/06/2005,Medium,Male,10.3,n/a,without feather and gut,n/a,7.66E+00,3.24E-01,n/a,1.27E+01,9.29E-01,4.33E-04,1.31E-04,n/a,4.60E-04,9.39E-05,7.43E+02,1.23E+03,4.21E-02,n/a,4.46E-02,4.01E-02,2.84E-02,7.08E-02,n/a,1.93E-01
